Image 0,Image 1,"Homography Matrix[0,0]","[0,1]","[0,2]","[1,0]","[1,1]","[1,2]","[2,0]","[2,1]","[2,2]",Features Tracked,xmean,ymean,xsd,ysd,Mean Error Magnitude,Mean Homographic displacement,Homography SNR
2021_07_13.CR2,2021_07_15.CR2,0.99958944865719,-0.0010054297628564529,5.826576230088048,-0.0005806680870553354,1.0033947801952598,-4.290244327440171,-3.555407338473778e-07,3.163793121996629e-07,1.0,523,14.33671029655388,-1.4408728713214398,120.75909743769276,10.527740825217956,15.808282028748016,4.334349221855004,1.9335240671198952
2021_07_15.CR2,2021_07_16.CR2,1.001675294045542,0.00035456766320091093,-1.120858134145153,0.0003942924364955841,1.0034463429093332,-4.672233115163351,2.6370354514366373e-07,2.804877169958936e-07,1.0,396,-13.880760232877863,1.1300714159086815,253.93824670595922,17.940343802420742,16.818208006109195,0.9269061869472666,6.16134033274387
2021_07_16.CR2,2021_07_17.CR2,1.0009128272300893,0.0006099342858495677,-1.6990917785494646,0.00028247096675427955,1.0015551425238067,-1.2589728031247673,1.1808703336580796e-07,2.1105008059952801e-07,1.0,2253,73.53163426941617,-34.79407089590688,3368.9451156431583,1705.4721332215104,93.8930268518122,1.3445448138571354,2.530702996915325
2021_07_17.CR2,2021_07_18.CR2,0.999771097917982,0.0005518226166763159,0.1840353616089689,4.61551274191847e-05,0.9998990742680888,-0.2191544983114379,2.368247065259779e-08,1.2585030906503417e-07,1.0,596,-1.3569490072222776,0.06582451437331721,17.057538820820742,2.0099050882585927,3.8484006473150885,1.1069915812191018,2.7731599811621375
2021_07_18.CR2,2021_07_19.CR2,0.9992637883758869,-0.0006751633208311518,2.555803299697251,-0.0003241121627371529,1.0004135316308311,-0.33773936820752937,-2.919443495456768e-07,3.7102839571160456e-07,1.0,1414,-88.5423831336244,7.379721674547235,3208.1732801382004,251.1753680106598,98.42816633277438,4.845133453839225,3.6500094748175727
2021_07_19.CR2,2021_07_20.CR2,1.0003630272685815,-0.0006487372123253067,-0.2951212928973407,0.00016497520628373162,0.9998019865800093,0.3238955784244466,1.3162890349761e-07,-2.841015943481044e-07,1.0,2483,-96.92063009893795,-2.9322019069744982,5374.992138508852,165.3759755015489,124.9662027986553,1.8090566292320232,2.008795966020018
2021_07_20.CR2,2021_07_21.CR2,1.0005695223936013,0.0011511028710446685,-1.2116370807631796,-0.0005831418734330246,1.002769281435461,-2.1909472774586263,-3.808768401511515e-07,9.268387966833764e-07,0.9999999999999999,1999,21.573235838908925,-3.33078262787056,753.9039032870758,135.29787111123022,23.142022249600483,3.785029259389613,1.5722061510719771
2021_07_21.CR2,2021_07_24.CR2,0.9994813650042709,0.00047980733022305496,-0.7323948744635925,-3.6467172341158754e-05,1.000025072250166,1.326865838533904,-2.105812768050077e-08,-1.0379992174258688e-07,1.0,1264,-9.792208959470619,-0.07898871775778968,342.3494843152384,29.290432746582272,22.922285585180944,1.8621861582710981,6.203231782175194
2021_07_24.CR2,2021_07_25.CR2,1.000400068939213,3.446612058795637e-05,-0.3578074646801122,-0.00025403535997873606,1.001017542764774,-1.1635012867675938,-1.1915283130140613e-07,4.128530508579094e-07,1.0,1543,-16.698322051117692,0.8169622583479138,809.5558148394769,44.03897942794556,32.31175696852483,1.004266060982009,36.03921633058972
2021_07_25.CR2,2021_07_26.CR2,1.003780954451303,0.006811841794694872,-9.942675083224696,-0.002127211620431366,1.0129851335741067,-9.339984662768249,-1.479100735605755e-06,4.140081008885654e-06,1.0,1797,25.00812450311634,-3.317884334203448,1158.2627900539958,149.69622690983445,50.853348149013236,8.579164104920416,1.2525651857886397
2021_07_26.CR2,2021_07_27.CR2,1.0005909081532012,0.0004757562143105365,-0.7242947865545121,0.00038977390925559887,1.0010556436661744,-2.2663948925158173,1.2333729093951995e-07,1.8137915419219403e-07,1.0,2212,-1.5883567488613195,0.5929598315822784,3031.563069606483,381.3921676685673,107.54377010485523,3.064075617520157,1.8630306249220288
2021_07_27.CR2,2021_07_28.CR2,0.9971109562008541,-0.004078205061892597,7.239824500507924,-0.00039416792621896574,0.9962849769407293,4.102784839279024,-3.228378429182626e-07,-1.1299557831946888e-06,1.0,232,0.20936023470825219,-0.5536162784057587,9.17487142290779,4.164244906436475,4.167190278436477,1.3807936419079214,3.1736524422660413
2021_07_28.CR2,2021_07_29.CR2,0.9998528272955578,-0.0008286657208479214,0.34545325083641293,-2.7803449199451983e-05,0.9991730765837115,1.2334412394827174,2.2163953205887558e-08,-3.7133816811264465e-07,1.0,7265,117.94699641319188,7.833766208377967,6463.168973436737,2129.8254333359687,161.72979690857656,3.174859916048616,2.1691934167764133
2021_07_29.CR2,2021_07_30.CR2,1.0003679229036497,0.0027887481188585777,-2.6701402777446597,-0.0002561002600795783,1.0026894228655128,-2.90405377382508,-1.9292884546923655e-07,1.0647402789518367e-06,1.0,966,1118.1447911357293,620.9228526162333,32396.728462633033,21528.53094077783,1580.5874364793674,27.142731771296226,483.32814023503664
2021_07_30.CR2,2021_07_31.CR2,1.0036600630594659,0.004391555778238177,-5.741023615334753,-0.0005040959485380388,1.0088089002036436,-6.143728120479591,-3.5968074881369015e-07,3.291875850704897e-06,1.0,997,1.465801691770254,-0.04570658304756523,156.66024200133177,3.437457630626638,11.395403111951211,1.557776878823131,1.90268785174626
2021_07_31.CR2,2021_08_01.CR2,1.001014084916573,0.0012637125180852901,-1.880473251861008,0.0003456439300681603,1.001971909283124,-1.6164170443212926,2.070765952039696e-07,3.6087251401969875e-07,1.0,1145,-67.32282152803198,-1.1182119686503034,2237.0458039590308,45.634291045676896,76.78476728543417,0.8647720798252224,155.6380788791643
2021_08_01.CR2,2021_08_02.CR2,1.0000193756288125,0.0008811686008776065,-0.774179437260952,-0.00031177127301062774,1.0013708159535601,-0.920442985710863,-2.2173307674754787e-07,5.43703195433348e-07,1.0,267,-1.6467227994231912,0.0010753415690019227,20.903154542135226,0.6057269334722826,2.4511775492845476,0.41926372345185914,5.006239014651371
2021_08_02.CR2,2021_08_03.CR2,1.0008564451501185,-4.258143697183116e-05,-1.292639345264036,0.0003724508507540758,1.0004243054003163,-0.32240705734325187,1.9665125700603965e-07,-6.831391036498673e-08,1.0,729,-4.170381844144248,2.151523808286362,84.31999504370431,45.595983358327246,5.978638091432327,1.1103920973135686,1.4255871875693071
2021_08_03.CR2,2021_08_05.CR2,1.0020668409696707,0.0023561763913958296,-3.1256097888726195,5.0281955686336595e-05,1.0051302023982194,-5.486752841923391,-3.266396575790662e-08,1.5390504682719352e-06,1.0,562,-2.1441346469037814,-2.9482859415755405,129.3966590713335,52.700658782296934,12.841606313975571,1.8723952407497626,2.8294526281199834
2021_08_05.CR2,2021_08_06.CR2,1.0029383493646291,0.0016039112112160741,-7.738053712458781,0.0010312419680002466,1.0032050564852337,-2.3826561708927576,6.218453545828912e-07,6.358856921114475e-07,1.0,471,-49.99395918803344,4.482615379237273,953.0641158703866,106.92363761000969,51.20602577585786,5.851524864351476,0.8193035329450067
2021_08_06.CR2,2021_08_07.CR2,1.0002753528401809,0.00027407656784110177,-0.5669248066906923,2.1034678751246945e-05,1.0006349729638744,-0.73394306798644,4.275016302452896e-08,1.0775331024734434e-07,1.0,1197,7.637524922052302,-0.8429859752963096,1297.6622593180116,133.00448089501458,69.2533071202945,0.42817841699739445,252.84140512765688
2021_08_07.CR2,2021_08_09.CR2,0.999733319723613,0.00017844839996195664,0.08007267377218853,-0.00028036157497806426,1.000380322451907,-1.0712766737354946,-1.698522201652521e-07,1.0089839479607884e-07,1.0,812,3.9448793885205644,-0.7474315741177633,66.40189245632187,13.353831754891663,4.696135183338768,1.0016235610960011,0.9945921209035165
2021_08_09.CR2,2021_08_10.CR2,1.0004858919591122,0.0006352237718556836,-1.1037997588652448,1.127885181106097e-05,1.0010329548203156,-0.9623597069698773,1.6385561048292397e-08,2.342963507246859e-07,1.0,960,-0.3903529008531373,0.11635635861247712,8.638313113716787,2.016505306651902,1.5383920247352558,0.11565834025065834,12.062158653186621
2021_08_10.CR2,2021_08_11.CR2,1.0006099272459672,0.0007958390725890193,-1.0488594494646102,-0.0003008893524727285,1.002906479038217,-2.8236614277537586,-2.242515471339918e-07,8.161689264553746e-07,1.0,604,-21.74347511181008,1.1339938873212092,486.3206592272649,26.968939088391448,22.503823716867878,0.7212454130375601,2.4478644621078076
2021_08_11.CR2,2021_08_12.CR2,0.9997405220088419,-0.0013071064349740882,0.7250045162597664,0.0001753509597293425,0.9984338173317335,1.552616777583795,2.055945424158743e-07,-7.894204128508838e-07,1.0,646,-7.4820693665507925,0.7849708583227517,139.17029244134605,9.543355759021436,11.041355367962293,1.4907602293977675,1.699511083322292
2021_08_12.CR2,2021_08_13.CR2,0.9957481727508083,-0.0012372289433157345,14.98045558724958,-0.0008551993309849219,0.9963878169624941,5.515262638420898,-6.604902729599818e-07,-4.6824942215853476e-07,1.0,1638,2.391215189459467,-34.82977465544364,2116.2213792115094,967.6731803256679,213.88775116726043,13.298257014120853,7.750490546451488
2021_08_13.CR2,2021_08_17.CR2,1.000950356174255,0.0002506623331271514,-5.841942931965868,0.0015445181033630604,0.9973906965083289,2.5135618792159153,8.230633980086778e-07,-6.08862138957507e-07,1.0,739,-23.46028640611902,1.5772345709404194,531.2931525266233,66.82951765420799,27.771872428984565,5.532729949304245,1.3677669144139997
2021_08_17.CR2,2021_08_19.CR2,1.0003860360015,0.0013266093777658152,-1.2679722154698552,-3.3787493568814624e-05,1.001958036028733,-1.9530258844575321,-1.398988945277037e-07,7.213826773971898e-07,1.0,1213,-12.243890811156554,-0.1591792820856062,426.3015207533471,9.989534990906225,14.41213971273314,0.8583576618629059,2.7077392874827524
2021_08_19.CR2,2021_08_20.CR2,1.000629405391918,0.0014922013990425374,-2.2451903156840407,-0.0004883877062359935,1.002963017515655,-2.6825387469768787,-2.6757022166781355e-07,7.427631093173874e-07,1.0,746,5.694953267959212,-0.5066695590382031,226.09603505187138,30.64154950904791,12.374492667788402,4.356087438188157,4.528808419620734
2021_08_20.CR2,2021_08_21.CR2,1.0010435237574717,0.00016605845838710926,-1.320846570626397,4.696861522805322e-05,1.0010431821679002,-0.6396392488174899,6.341803150039354e-08,2.0937469340037596e-07,0.9999999999999999,611,10.422169098691615,-0.13479261738595236,235.5819414745432,14.22450917004361,12.025590283573871,0.663787842669586,3.5255045730982615
2021_08_21.CR2,2021_08_22.CR2,1.0007752080955716,-0.000606355568890459,-0.5747794223646472,0.00027229145977082924,1.0001103076257853,-1.1137838728942733,1.1657422200825387e-07,-1.7895653435171914e-07,1.0,923,2.5190421118065407,1.8398667871137995,137.61282198994732,27.70324260371331,12.092730770884515,0.9810341147949445,6.665508951258819
2021_08_22.CR2,2021_08_23.CR2,0.9988940826956786,-8.222502619580614e-05,1.3082967915500525,-0.00022445536354426406,0.9992624107742312,0.9692278136256948,-1.8014568450378637e-07,-8.509832342214945e-08,1.0,4445,-33.547846270571284,4.051694253227156,1789.0344761646304,234.25893077377424,42.968827029069104,0.535799068841089,38.09825651456938
2021_08_23.CR2,2021_08_24.CR2,0.999606908023191,0.00046990616136072103,-0.37053926861187914,-0.00018088025427597274,0.9997761573072191,0.2129991069493239,-1.0661588991351156e-07,1.0899001152665447e-07,0.9999999999999999,250,-5.9430896661395085,-0.22363522558472504,155.9838862497181,5.771027999757396,13.52883957087134,0.5992123431535358,5.874866291201671
